densidade,batch_id,id,timestamp,hour
10001016,8919,1,2021-07-03T03:05:48,103.33666666666666
9975740,8928,1,2021-07-03T03:50:48,104.08666666666666
10011181,8937,1,2021-07-03T04:35:48,104.83666666666666
10001016,8946,1,2021-07-03T05:20:48,105.58666666666666
9985828,8955,1,2021-07-03T06:05:48,106.33666666666666
10006094,8964,1,2021-07-03T06:50:48,107.08666666666666
9990882,8973,1,2021-07-03T07:35:48,107.83666666666666
10021376,8982,1,2021-07-03T08:20:48,108.58666666666666
9965683,8991,1,2021-07-03T09:05:48,109.33666666666666
9990882,9000,1,2021-07-03T09:50:48,110.08666666666666
10026488,9009,1,2021-07-03T10:35:48,110.83666666666666
10026488,9018,1,2021-07-03T11:20:48,111.58666666666666
10006094,9027,1,2021-07-03T12:05:48,112.33666666666666
10006094,9036,1,2021-07-03T12:50:48,113.08666666666666
10036730,9045,1,2021-07-03T13:35:48,113.83666666666666
9955658,9054,1,2021-07-03T14:20:48,114.58666666666666
10021376,9063,1,2021-07-03T15:05:48,115.33666666666666
10001016,9072,1,2021-07-03T15:50:48,116.08666666666666
10011181,9081,1,2021-07-03T16:35:48,116.83666666666666
10026488,9090,1,2021-07-03T17:20:48,117.58666666666666
9980779,9099,1,2021-07-03T18:05:48,118.33666666666666
9995945,9108,1,2021-07-03T18:50:48,119.08666666666666
10001016,9117,1,2021-07-03T19:35:48,119.83666666666666
9980779,9126,1,2021-07-03T20:20:48,120.58666666666666
10021376,9135,1,2021-07-03T21:05:48,121.33666666666666
9985828,9144,1,2021-07-03T21:50:48,122.08666666666666
10021376,9153,1,2021-07-03T22:35:48,122.83666666666666
9975740,9162,1,2021-07-03T23:20:48,123.58666666666666
9945664,9171,1,2021-07-04T00:05:48,124.33666666666666
10031605,9180,1,2021-07-04T00:50:48,125.08666666666666
10031605,9189,1,2021-07-04T01:35:48,125.83666666666666
9990882,9198,1,2021-07-04T02:20:48,126.58666666666666
9980779,9207,1,2021-07-04T03:05:48,127.33666666666666
9985828,9216,1,2021-07-04T03:50:48,128.08666666666667
10016276,9225,1,2021-07-04T04:35:48,128.83666666666667
